time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,352.755,346.3,45.529,0.0103763,0.01,75
0.022,359.209,346.301,46.0482,0.0107594,0.0100001,75
0.033,365.664,346.301,46.5578,0.0111496,0.0100001,75
0.044,372.118,346.302,47.058,0.0115467,0.0100001,75
0.055,378.573,346.303,47.549,0.0119507,0.0100001,75
0.066,385.028,346.303,48.031,0.0123617,0.0100002,74.9999
0.077,391.482,346.304,48.5041,0.0127796,0.0100002,74.9999
0.088,397.937,346.304,48.9686,0.0132045,0.0100003,74.9999
0.099,404.391,346.305,49.4245,0.0136364,0.0100003,74.9999
0.11,410.846,346.306,49.8722,0.0140751,0.0100003,74.9999
0.121,417.3,346.306,50.3116,0.0145209,0.0100004,74.9999
0.132,423.755,346.307,50.7431,0.0149735,0.0100004,74.9999
0.143,430.209,346.308,51.1668,0.0154332,0.0100004,74.9999
0.154,436.664,346.308,51.5828,0.0158997,0.0100005,74.9999
0.165,443.118,346.309,51.9914,0.0163732,0.0100005,74.9999
0.176,449.573,346.31,52.3926,0.0168537,0.0100006,74.9999
0.187,456.027,346.311,52.7867,0.0173411,0.0100006,74.9999
0.198,462.482,346.312,53.1737,0.0178355,0.0100007,74.9999
0.209,468.936,346.312,53.5539,0.0183368,0.0100007,74.9999
0.22,475.391,346.313,53.9274,0.018845,0.0100008,74.9998
0.231,481.845,346.314,54.2942,0.0193602,0.0100008,74.9998
0.242,488.299,346.315,54.6547,0.0198823,0.0100009,74.9998
0.253,494.754,346.316,55.0089,0.0204114,0.0100009,74.9998
0.264,501.208,346.317,55.3569,0.0209475,0.010001,74.9998
0.275,507.663,346.318,55.6989,0.0214905,0.010001,74.9998
0.286,514.117,346.319,56.035,0.0220404,0.0100011,74.9998
0.297,520.572,346.32,56.3654,0.0225973,0.0100012,74.9998
0.308,527.026,346.321,56.6901,0.0231611,0.0100012,74.9998
0.319,533.48,346.322,57.0094,0.0237319,0.0100013,74.9998
0.33,539.935,346.323,57.3232,0.0243096,0.0100014,74.9998
0.341,546.389,346.324,57.6317,0.0248942,0.0100014,74.9998
0.352,552.843,346.326,57.9351,0.0254859,0.0100015,74.9998
0.363,559.298,346.327,58.2335,0.0260844,0.0100016,74.9998
0.374,565.752,346.328,58.5269,0.0266899,0.0100016,74.9998
0.385,572.206,346.329,58.8155,0.0273024,0.0100017,74.9997
0.396,578.661,346.331,59.0993,0.0279218,0.0100018,74.9997
0.407,585.115,346.332,59.3785,0.0285481,0.0100019,74.9997
0.418,591.569,346.333,59.6532,0.0291814,0.0100019,74.9997
0.429,598.024,346.335,59.9235,0.0298217,0.010002,74.9997
0.44,604.478,346.336,60.1894,0.0304688,0.0100021,74.9997
0.451,610.932,346.338,60.4511,0.031123,0.0100022,74.9997
0.462,617.386,346.339,60.7086,0.031784,0.0100023,74.9997
0.473,623.841,346.341,60.9621,0.0324521,0.0100023,74.9997
0.484,630.295,346.342,61.2115,0.033127,0.0100024,74.9997
0.495,636.749,346.344,61.4571,0.033809,0.0100025,74.9997
0.506,643.203,346.345,61.6989,0.0344978,0.0100026,74.9997
0.517,649.657,346.347,61.9369,0.0351936,0.0100027,74.9997
0.528,656.112,346.349,62.1713,0.0358964,0.0100028,74.9997
0.539,662.566,346.35,62.4021,0.0366061,0.0100029,74.9996
0.55,669.02,346.352,62.6294,0.0373227,0.010003,74.9996
0.561,675.474,346.354,62.8532,0.0380463,0.0100031,74.9996
0.572,681.928,346.356,63.0737,0.0387769,0.0100032,74.9996
0.583,688.383,346.357,63.2909,0.0395144,0.0100033,74.9996
0.594,694.837,346.359,63.5049,0.0402588,0.0100034,74.9996
0.605,701.291,346.361,63.7157,0.0410102,0.0100035,74.9996
0.616,707.745,346.363,63.9233,0.0417685,0.0100036,74.9996
0.627,714.199,346.365,64.128,0.0425338,0.0100038,74.9996
0.638,720.653,346.367,64.3297,0.043306,0.0100039,74.9996
0.649,727.107,346.369,64.5285,0.0440851,0.010004,74.9996
0.66,733.561,346.371,64.7244,0.0448713,0.0100041,74.9996
0.671,740.016,346.373,64.9175,0.0456643,0.0100042,74.9996
0.682,746.47,346.376,65.1078,0.0464643,0.0100044,74.9996
0.693,752.924,346.378,65.2955,0.0472713,0.0100045,74.9996
0.704,759.378,346.38,65.4805,0.0480851,0.0100046,74.9995
0.715,765.832,346.382,65.663,0.048906,0.0100048,74.9995
0.726,772.286,346.385,65.8429,0.0497338,0.0100049,74.9995
0.737,778.74,346.387,66.0203,0.0505685,0.010005,74.9995
0.748,785.194,346.389,66.1953,0.0514102,0.0100052,74.9995
0.759,791.648,346.392,66.3678,0.0522588,0.0100053,74.9995
0.77,798.102,346.394,66.5381,0.0531144,0.0100054,74.9995
0.781,804.556,346.397,66.706,0.0539769,0.0100056,74.9995
0.792,811.01,346.399,66.8717,0.0548463,0.0100057,74.9995
0.803,817.464,346.402,67.0351,0.0557227,0.0100059,74.9995
0.814,823.918,346.404,67.1964,0.0566061,0.010006,74.9995
0.825,830.372,346.407,67.3555,0.0574964,0.0100062,74.9995
0.836,836.826,346.41,67.5126,0.0583936,0.0100063,74.9995
0.847,843.28,346.413,67.6675,0.0592978,0.0100065,74.9995
0.858,849.734,346.415,67.8205,0.0602089,0.0100067,74.9994
0.869,856.188,346.418,67.9715,0.061127,0.0100068,74.9994
0.88,862.642,346.421,68.1205,0.062052,0.010007,74.9994
0.891,869.096,346.424,68.2676,0.062984,0.0100072,74.9994
0.902,875.549,346.427,68.4129,0.0639229,0.0100073,74.9994
0.913,882.003,346.43,68.5563,0.0648688,0.0100075,74.9994
0.924,888.457,346.433,68.6979,0.0658216,0.0100077,74.9994
