time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,348.605,346.3,45.19,0.0101336,0.01,75
0.022,350.91,346.301,45.3787,0.010268,0.0100001,75
0.033,353.215,346.301,45.5662,0.0104033,0.0100001,75
0.044,355.52,346.302,45.7525,0.0105396,0.0100001,75
0.055,357.825,346.302,45.9375,0.0106767,0.0100001,75
0.066,360.129,346.303,46.1213,0.0108146,0.0100002,74.9999
0.077,362.434,346.303,46.3038,0.0109535,0.0100002,74.9999
0.088,364.739,346.304,46.4852,0.0110933,0.0100002,74.9999
0.099,367.044,346.304,46.6653,0.0112339,0.0100003,74.9999
0.11,369.349,346.305,46.8443,0.0113755,0.0100003,74.9999
0.121,371.654,346.305,47.0221,0.0115179,0.0100003,74.9999
0.132,373.959,346.306,47.1986,0.0116612,0.0100004,74.9999
0.143,376.264,346.307,47.3741,0.0118054,0.0100004,74.9999
0.154,378.569,346.307,47.5483,0.0119504,0.0100004,74.9999
0.165,380.873,346.308,47.7214,0.0120964,0.0100004,74.9999
0.176,383.178,346.308,47.8934,0.0122433,0.0100005,74.9999
0.187,385.483,346.309,48.0642,0.012391,0.0100005,74.9999
0.198,387.788,346.309,48.2339,0.0125396,0.0100005,74.9999
0.209,390.093,346.31,48.4025,0.0126891,0.0100006,74.9999
0.22,392.398,346.311,48.57,0.0128395,0.0100006,74.9998
0.231,394.703,346.311,48.7364,0.0129908,0.0100007,74.9998
0.242,397.007,346.312,48.9016,0.0131429,0.0100007,74.9998
0.253,399.312,346.312,49.0658,0.013296,0.0100007,74.9998
0.264,401.617,346.313,49.2289,0.0134499,0.0100008,74.9998
0.275,403.922,346.314,49.3909,0.0136047,0.0100008,74.9998
0.286,406.227,346.314,49.5519,0.0137604,0.0100008,74.9998
0.297,408.532,346.315,49.7118,0.013917,0.0100009,74.9998
0.308,410.836,346.316,49.8707,0.0140745,0.0100009,74.9998
0.319,413.141,346.316,50.0285,0.0142329,0.0100009,74.9998
0.33,415.446,346.317,50.1853,0.0143921,0.010001,74.9998
0.341,417.751,346.318,50.3411,0.0145522,0.010001,74.9998
0.352,420.056,346.318,50.4959,0.0147133,0.0100011,74.9998
0.363,422.361,346.319,50.6496,0.0148752,0.0100011,74.9998
0.374,424.665,346.32,50.8023,0.015038,0.0100011,74.9998
0.385,426.97,346.32,50.9541,0.0152016,0.0100012,74.9997
0.396,429.275,346.321,51.1049,0.0153662,0.0100012,74.9997
0.407,431.58,346.322,51.2546,0.0155316,0.0100013,74.9997
0.418,433.885,346.323,51.4035,0.015698,0.0100013,74.9997
0.429,436.189,346.323,51.5513,0.0158652,0.0100014,74.9997
0.44,438.494,346.324,51.6982,0.0160333,0.0100014,74.9997
0.451,440.799,346.325,51.8442,0.0162023,0.0100014,74.9997
