x,time,relative_density,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,energy,energy_density,inval_lat
2,2.876,1,3789.87,351.681,84.6984,1.19769,0.0103132,1.208,1.208,74.9982
3,5.626,1,7081.35,381.429,86.9168,4.18145,0.0121317,4.19358,4.00986,74.9964
4,8.066,1,10000.5,445.265,87.4506,8.3394,0.0165323,8.35594,7.08918,74.9946
5,10.116,1,12451.5,537.37,87.5288,12.9283,0.0240792,12.9524,9.23241,74.9928
6,11.812,1,14477.9,646.739,87.4423,17.4786,0.0348782,17.5135,10.3278,74.991
7,13.233,1,16174.2,765.33,87.2909,21.8144,0.0488419,21.8632,10.8024,74.9892
8,14.445,1,17619.7,888.197,87.1142,25.8877,0.0657831,25.9535,10.9373,74.9874
9,15.499,1,18875.5,1012.76,86.9288,29.7094,0.0855272,29.7949,10.9193,74.9856
10,16.43,1,19983.6,1137.45,86.7423,33.2999,0.107884,33.4078,10.8146,74.9838
11,17.264,1,20975.1,1261.51,86.5582,36.6864,0.132701,36.8191,10.677,74.982
12,18.021,1,21874.1,1384.71,86.3778,39.8985,0.159887,40.0584,10.5439,74.9802
13,18.713,1,22695,1506.53,86.2022,42.9491,0.189255,43.1384,10.3796,74.9784
14,19.351,1,23450.9,1626.89,86.0315,45.8578,0.220705,46.0785,10.2219,74.9766
15,19.945,1,24153.8,1746.12,85.8652,48.6482,0.25424,48.9024,10.1001,74.9748
16,20.499,1,24808.6,1863.73,85.7038,51.3216,0.289642,51.6112,9.9418,74.973
17,21.019,1,25422.5,1979.89,85.5468,53.8928,0.32687,54.2197,9.80328,74.9712
18,21.51,1,26001.4,2094.81,85.3939,56.3753,0.365917,56.7412,9.68704,74.9694
19,21.975,1,26549,2208.43,85.2449,58.7748,0.406691,59.1815,9.56863,74.9676
20,22.417,1,27068.8,2320.85,85.0995,61.099,0.449147,61.5481,9.45907,74.9658
21,22.838,1,27563.4,2431.98,84.9577,63.3518,0.493193,63.845,9.34588,74.964
22,23.24,1,28035,2541.86,84.8193,65.5383,0.538766,66.077,9.23608,74.9622
23,23.625,1,28486,2650.59,84.684,67.6643,0.585844,68.2501,9.13641,74.9604
24,23.995,1,28919,2758.36,84.5515,69.7368,0.634448,70.3712,9.05332,74.9586
