x,time,relative_density,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,energy,energy_density,inval_lat
2,2.849,1,8875.14,364.74,87.6466,6.56819,0.0110934,6.57928,6.57928,74.9988
3,5.327,1,16291.3,460.371,88.3813,22.1312,0.0176731,22.1489,22.1489,74.9976
4,7.2,1,21894.5,623.242,88.3695,39.9729,0.0323898,40.0053,40.0053,74.9964
5,8.602,1,26086.4,814.805,88.211,56.7445,0.0553609,56.7999,56.7999,74.9952
6,9.7,1,29367.3,1014.89,88.0207,71.9154,0.0858889,72.0013,72.0013,74.994
7,10.599,1,32051.6,1215.72,87.8278,85.6632,0.123244,85.7865,85.7865,74.9928
8,11.361,1,34325.2,1414.46,87.6403,98.2473,0.16683,98.4141,98.4141,74.9916
9,12.023,1,36298.8,1609.86,87.4606,109.87,0.216108,110.087,110.087,74.9904
10,12.609,1,38044.5,1801.48,87.289,120.692,0.270616,120.963,120.963,74.9892
11,13.137,1,39616.2,1989.85,87.1246,130.87,0.330168,131.2,131.2,74.988
12,13.618,1,41046.8,2174.94,86.9669,140.492,0.394447,140.887,140.887,74.9868
13,14.059,1,42357.3,2356.33,86.8159,149.607,0.462986,150.07,150.07,74.9856
14,14.468,1,43571.7,2534.87,86.6705,158.308,0.535806,158.844,158.844,74.9844
15,14.85,1,44704.9,2710.83,86.5299,166.65,0.612775,167.263,167.263,74.9832
16,15.207,1,45763.1,2883.52,86.3946,174.633,0.693331,175.326,175.326,74.982
17,15.544,1,46761.1,3053.99,86.2633,182.333,0.777734,183.111,183.111,74.9808
18,15.863,1,47705.1,3222.18,86.1359,189.769,0.865755,190.634,190.634,74.9796
19,16.166,1,48600.9,3388.19,86.0121,196.962,0.957261,197.92,197.92,74.9784
20,16.454,1,49451.6,3551.73,85.8919,203.918,1.0519,204.97,204.97,74.9772
21,16.729,1,50263.1,3713.2,85.7749,210.666,1.14972,211.816,211.816,74.976
22,16.993,1,51041.6,3873.17,85.6606,217.242,1.25091,218.493,218.493,74.9748
23,17.246,1,51786.9,4031.09,85.5491,223.633,1.355,224.988,224.988,74.9736
24,17.489,1,52502.2,4187.09,85.4403,229.853,1.46191,231.315,231.315,74.9724
25,17.724,1,53193.3,4342.02,85.3334,235.944,1.5721,237.516,237.516,74.9712
26,17.95,1,53857.3,4494.85,85.2292,241.871,1.68471,243.556,243.556,74.97
27,18.169,1,54500.2,4646.55,85.1269,247.68,1.80035,249.481,249.481,74.9688
28,18.381,1,55122,4796.83,85.0265,253.364,1.91868,255.283,255.283,74.9676
29,18.586,1,55722.7,4945.38,84.9283,258.916,2.03936,260.956,260.956,74.9664
30,18.785,1,56305.3,5092.65,84.8318,264.359,2.16264,266.522,266.522,74.9652
31,18.979,1,56872.8,5239.17,84.7367,269.714,2.28886,272.003,272.003,74.964
32,19.167,1,57422.2,5383.95,84.6436,274.951,2.41711,277.368,277.368,74.9628
33,19.35,1,57956.5,5527.54,84.552,280.091,2.54776,282.639,282.639,74.9616
34,19.529,1,58478.7,5670.55,84.4615,285.161,2.6813,287.843,287.843,74.9604
35,19.703,1,58985.8,5812.02,84.3727,290.129,2.81675,292.945,292.945,74.9592
36,19.873,1,59480.9,5952.58,84.2851,295.019,2.95464,297.973,297.973,74.958
37,20.039,1,59963.8,6092.08,84.1989,299.829,3.09476,302.924,302.924,74.9568
38,20.202,1,60437.6,6231.25,84.1135,304.585,3.23776,307.823,307.823,74.9556
39,20.36,1,60896.4,6368.22,84.03,309.228,3.38167,312.609,312.609,74.9544
40,20.516,1,61349,6505.48,83.9469,313.841,3.52902,317.37,317.37,74.9532
41,20.668,1,61789.6,6641.16,83.8654,318.366,3.67775,322.043,322.043,74.952
42,20.817,1,62221.1,6776.03,83.7848,322.828,3.82865,326.657,326.657,74.9508
43,20.963,1,62643.6,6909.99,83.7054,327.226,3.98153,331.208,331.208,74.9496
44,21.106,1,63057,7042.94,83.627,331.559,4.13621,335.696,335.696,74.9484
45,21.247,1,63464.2,7175.72,83.5491,335.856,4.29365,340.149,340.149,74.9472
46,21.385,1,63862.4,7307.32,83.4724,340.084,4.45258,344.536,344.536,74.946
47,21.521,1,64254.5,7438.61,83.3964,344.272,4.61401,348.886,348.886,74.9448
48,21.654,1,64637.6,7568.54,83.3215,348.389,4.77661,353.166,353.166,74.9436
49,21.785,1,65014.5,7698.01,83.2474,352.465,4.94143,357.406,357.406,74.9424
50,21.914,1,65385.4,7826.96,83.1739,356.498,5.10836,361.606,361.606,74.9412
51,22.041,1,65750.2,7955.33,83.1011,360.487,5.27729,365.764,365.764,74.94
52,22.165,1,66106,8082.02,83.0297,364.399,5.44672,369.846,369.846,74.9388
53,22.288,1,66458.7,8209.03,82.9584,368.297,5.61925,373.917,373.917,74.9376
54,22.409,1,66805.3,8335.27,82.888,372.149,5.79342,377.942,377.942,74.9364
55,22.528,1,67145.9,8460.69,82.8183,375.953,5.96908,381.922,381.922,74.9352
56,22.645,1,67480.4,8585.23,82.7495,379.708,6.1461,385.855,385.855,74.934
57,22.761,1,67811.8,8709.92,82.6809,383.447,6.32591,389.773,389.773,74.9328
58,22.875,1,68137.1,8833.62,82.6131,387.135,6.50688,393.642,393.642,74.9316
59,22.987,1,68456.5,8956.29,82.5462,390.773,6.68885,397.461,397.461,74.9304
60,23.098,1,68772.7,9078.98,82.4796,394.391,6.87337,401.264,401.264,74.9292
61,23.208,1,69085.7,9201.67,82.4133,397.99,7.06038,405.05,405.05,74.928
62,23.316,1,69392.8,9323.19,82.3479,401.536,7.24809,408.784,408.784,74.9268
63,23.422,1,69694,9443.49,82.2835,405.029,7.43635,412.465,412.465,74.9257
64,23.527,1,69992,9563.66,82.2193,408.5,7.62683,416.127,416.127,74.9245
65,23.631,1,70286.9,9683.69,82.1555,411.949,7.81946,419.769,419.769,74.9233
66,23.734,1,70578.7,9803.54,82.0921,415.377,8.01422,423.391,423.391,74.9221
67,23.835,1,70864.6,9922.01,82.0296,418.749,8.20908,426.958,426.958,74.9209
68,23.936,1,71150.2,10041.4,81.9669,422.131,8.40786,430.539,430.539,74.9197
69,24.035,1,71429.9,10159.4,81.9052,425.456,8.60657,434.063,434.063,74.9185
70,24.132,1,71703.7,10275.8,81.8445,428.724,8.80502,437.529,437.529,74.9173
71,24.229,1,71977.2,10393.2,81.7835,432.001,9.00724,441.009,441.009,74.9161
72,24.325,1,72247.7,10510.2,81.723,435.254,9.21116,444.465,444.465,74.9149
73,24.42,1,72515.1,10626.8,81.6629,438.482,9.4167,447.899,447.899,74.9137
74,24.513,1,72776.6,10741.8,81.6038,441.651,9.62157,451.272,451.272,74.9125
75,24.606,1,73037.9,10857.6,81.5445,444.828,9.83012,454.658,454.658,74.9113
76,24.697,1,73293.4,10971.6,81.4863,447.945,10.0378,457.982,457.982,74.9101
77,24.788,1,73548.6,11086.5,81.4279,451.069,10.2491,461.318,461.318,74.9089
78,24.878,1,73800.7,11200.9,81.37,454.168,10.4616,464.629,464.629,74.9077
