time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,379.234,346.3,47.599,0.0119925,0.01,75
0.022,412.168,346.301,49.9632,0.0141659,0.01,75
0.033,445.101,346.301,52.1161,0.0165201,0.0100001,75
0.044,478.035,346.302,54.0794,0.0190552,0.0100001,75
0.055,510.969,346.302,55.8731,0.0217713,0.0100001,75
0.066,543.902,346.303,57.5151,0.0246682,0.0100002,75
0.077,576.836,346.304,59.0215,0.027746,0.0100002,75
0.088,609.77,346.305,60.4066,0.0310046,0.0100003,74.9999
0.099,642.703,346.306,61.683,0.0344442,0.0100003,74.9999
0.11,675.637,346.307,62.862,0.0380646,0.0100004,74.9999
0.121,708.57,346.308,63.9533,0.0418659,0.0100005,74.9999
0.132,741.504,346.31,64.9657,0.0458481,0.0100006,74.9999
0.143,774.437,346.311,65.9069,0.0500112,0.0100006,74.9999
0.154,807.371,346.313,66.7836,0.0543552,0.0100007,74.9999
0.165,840.304,346.315,67.602,0.05888,0.0100008,74.9999
0.176,873.237,346.316,68.3673,0.0635857,0.010001,74.9999
0.187,906.171,346.318,69.0842,0.0684723,0.0100011,74.9999
0.198,939.104,346.321,69.7571,0.0735398,0.0100012,74.9999
0.209,972.037,346.323,70.3897,0.0787881,0.0100013,74.9999
0.22,1004.97,346.326,70.9854,0.0842174,0.0100015,74.9999
0.231,1037.9,346.328,71.5471,0.0898275,0.0100016,74.9999
0.242,1070.84,346.331,72.0777,0.0956185,0.0100018,74.9999
0.253,1103.77,346.334,72.5795,0.10159,0.010002,74.9999
0.264,1136.7,346.338,73.0548,0.107743,0.0100022,74.9999
0.275,1169.64,346.341,73.5054,0.114077,0.0100024,74.9999
0.286,1202.57,346.345,73.9334,0.120591,0.0100026,74.9999
0.297,1235.5,346.349,74.3402,0.127286,0.0100028,74.9999
0.308,1268.44,346.353,74.7274,0.134163,0.010003,74.9999
0.319,1301.37,346.357,75.0963,0.14122,0.0100033,74.9999
0.33,1334.3,346.362,75.4482,0.148458,0.0100036,74.9998
0.341,1367.23,346.366,75.7841,0.155877,0.0100038,74.9998
0.352,1400.17,346.371,76.1052,0.163476,0.0100041,74.9998
0.363,1433.1,346.376,76.4123,0.171257,0.0100044,74.9998
0.374,1466.03,346.382,76.7064,0.179218,0.0100047,74.9998
0.385,1498.97,346.388,76.9882,0.187361,0.0100051,74.9998
0.396,1531.9,346.394,77.2585,0.195684,0.0100054,74.9998
0.407,1564.83,346.4,77.518,0.204188,0.0100058,74.9998
0.418,1597.76,346.406,77.7672,0.212873,0.0100062,74.9998
0.429,1630.7,346.413,78.0068,0.221739,0.0100065,74.9998
0.44,1663.63,346.42,78.2373,0.230785,0.010007,74.9998
0.451,1696.56,346.428,78.4592,0.240013,0.0100074,74.9998
0.462,1729.49,346.435,78.673,0.249421,0.0100078,74.9998
0.473,1762.43,346.443,78.8791,0.25901,0.0100083,74.9998
0.484,1795.36,346.452,79.0779,0.268781,0.0100088,74.9998
0.495,1828.29,346.46,79.2697,0.278732,0.0100092,74.9998
0.506,1861.22,346.469,79.455,0.288863,0.0100098,74.9998
0.517,1894.16,346.478,79.6341,0.299176,0.0100103,74.9998
0.528,1927.09,346.488,79.8072,0.30967,0.0100108,74.9998
0.539,1960.02,346.497,79.9747,0.320344,0.0100114,74.9998
0.55,1992.95,346.508,80.1368,0.331199,0.010012,74.9998
0.561,2025.89,346.518,80.2938,0.342236,0.0100126,74.9998
0.572,2058.82,346.529,80.4458,0.353453,0.0100132,74.9997
0.583,2091.75,346.54,80.5932,0.364851,0.0100139,74.9997
0.594,2124.68,346.552,80.7362,0.376429,0.0100146,74.9997
0.605,2157.62,346.564,80.8749,0.388189,0.0100152,74.9997
0.616,2190.55,346.576,81.0095,0.400129,0.010016,74.9997
0.627,2223.48,346.589,81.1402,0.412251,0.0100167,74.9997
0.638,2256.41,346.602,81.2672,0.424553,0.0100174,74.9997
0.649,2289.34,346.615,81.3906,0.437036,0.0100182,74.9997
0.66,2322.28,346.629,81.5106,0.4497,0.010019,74.9997
0.671,2355.21,346.643,81.6272,0.462545,0.0100198,74.9997
0.682,2388.14,346.658,81.7407,0.47557,0.0100207,74.9997
0.693,2421.07,346.673,81.8512,0.488777,0.0100216,74.9997
0.704,2454,346.689,81.9588,0.502164,0.0100225,74.9997
0.715,2486.94,346.705,82.0635,0.515732,0.0100234,74.9997
0.726,2519.87,346.721,82.1656,0.529481,0.0100243,74.9997
0.737,2552.8,346.738,82.2651,0.543411,0.0100253,74.9997
0.748,2585.73,346.755,82.362,0.557522,0.0100263,74.9997
0.759,2618.66,346.773,82.4566,0.571813,0.0100273,74.9997
0.77,2651.59,346.791,82.5488,0.586286,0.0100284,74.9997
0.781,2684.53,346.809,82.6388,0.600939,0.0100294,74.9997
0.792,2717.46,346.828,82.7267,0.615773,0.0100305,74.9997
0.803,2750.39,346.848,82.8125,0.630788,0.0100317,74.9997
0.814,2783.32,346.868,82.8962,0.645984,0.0100328,74.9996
0.825,2816.25,346.888,82.978,0.661361,0.010034,74.9996
0.836,2849.18,346.909,83.058,0.676918,0.0100352,74.9996
0.847,2882.12,346.93,83.1361,0.692657,0.0100364,74.9996
0.858,2915.05,346.952,83.2125,0.708576,0.0100377,74.9996
0.869,2947.98,346.975,83.2872,0.724676,0.010039,74.9996
0.88,2980.91,346.998,83.3603,0.740957,0.0100403,74.9996
0.891,3013.84,347.021,83.4318,0.757419,0.0100417,74.9996
0.902,3046.77,347.045,83.5017,0.774061,0.0100431,74.9996
0.913,3079.7,347.069,83.5701,0.790885,0.0100445,74.9996
0.924,3112.64,347.094,83.6372,0.807889,0.0100459,74.9996
0.935,3145.57,347.12,83.7028,0.825074,0.0100474,74.9996
0.946,3178.5,347.146,83.767,0.84244,0.0100489,74.9996
0.957,3211.43,347.173,83.83,0.859987,0.0100505,74.9996
0.968,3244.36,347.2,83.8917,0.877715,0.010052,74.9996
0.979,3277.29,347.227,83.9521,0.895623,0.0100536,74.9996
0.99,3310.22,347.256,84.0113,0.913713,0.0100553,74.9996
1.001,3343.15,347.285,84.0694,0.931983,0.0100569,74.9996
1.012,3376.09,347.314,84.1264,0.950434,0.0100586,74.9996
1.023,3409.02,347.344,84.1822,0.969066,0.0100604,74.9996
1.034,3441.95,347.374,84.237,0.987879,0.0100622,74.9996
1.045,3474.88,347.406,84.2907,1.00687,0.010064,74.9995
1.056,3507.81,347.437,84.3435,1.02605,0.0100658,74.9995
1.067,3540.74,347.47,84.3952,1.0454,0.0100677,74.9995
1.078,3573.67,347.503,84.446,1.06494,0.0100696,74.9995
1.089,3606.6,347.536,84.4959,1.08466,0.0100715,74.9995
1.1,3639.53,347.571,84.5449,1.10455,0.0100735,74.9995
1.111,3672.46,347.605,84.593,1.12463,0.0100755,74.9995
1.122,3705.39,347.641,84.6402,1.14489,0.0100776,74.9995
1.133,3738.33,347.677,84.6866,1.16533,0.0100797,74.9995
1.144,3771.26,347.714,84.7322,1.18595,0.0100818,74.9995
1.155,3804.19,347.751,84.777,1.20675,0.010084,74.9995
1.166,3837.12,347.789,84.821,1.22774,0.0100862,74.9995
1.177,3870.05,347.828,84.8642,1.2489,0.0100884,74.9995
1.188,3902.98,347.867,84.9068,1.27025,0.0100907,74.9995
1.199,3935.91,347.907,84.9486,1.29177,0.010093,74.9995
1.21,3968.84,347.948,84.9897,1.31348,0.0100954,74.9995
1.221,4001.77,347.989,85.0301,1.33536,0.0100978,74.9995
1.232,4034.7,348.031,85.0699,1.35743,0.0101002,74.9995
1.243,4067.63,348.074,85.109,1.37968,0.0101027,74.9995
1.254,4100.56,348.118,85.1475,1.40211,0.0101053,74.9995
1.265,4133.49,348.162,85.1854,1.42472,0.0101078,74.9995
1.276,4166.42,348.207,85.2226,1.44751,0.0101104,74.9995
1.287,4199.35,348.252,85.2593,1.47048,0.0101131,74.9994
1.298,4232.28,348.299,85.2954,1.49364,0.0101158,74.9994
1.309,4265.21,348.346,85.3309,1.51697,0.0101185,74.9994
1.32,4298.14,348.393,85.3659,1.54048,0.0101213,74.9994
1.331,4331.07,348.442,85.4004,1.56418,0.0101241,74.9994
1.342,4364,348.491,85.4343,1.58805,0.010127,74.9994
1.353,4396.93,348.541,85.4677,1.61211,0.0101299,74.9994
1.364,4429.86,348.592,85.5006,1.63635,0.0101328,74.9994
1.375,4462.79,348.643,85.533,1.66077,0.0101358,74.9994
1.386,4495.72,348.696,85.5649,1.68537,0.0101388,74.9994
1.397,4528.65,348.749,85.5964,1.71015,0.0101419,74.9994
1.408,4561.58,348.803,85.6274,1.73511,0.0101451,74.9994
1.419,4594.51,348.857,85.6579,1.76025,0.0101482,74.9994
1.43,4627.44,348.913,85.688,1.78557,0.0101515,74.9994
1.441,4660.37,348.969,85.7177,1.81108,0.0101547,74.9994
1.452,4693.3,349.026,85.7469,1.83676,0.0101581,74.9994
1.463,4726.23,349.084,85.7758,1.86263,0.0101614,74.9994
1.474,4759.16,349.142,85.8042,1.88867,0.0101648,74.9994
1.485,4792.09,349.202,85.8322,1.9149,0.0101683,74.9994
1.496,4825.02,349.262,85.8598,1.94131,0.0101718,74.9994
1.507,4857.95,349.323,85.8871,1.96789,0.0101754,74.9994
1.518,4890.88,349.385,85.914,1.99466,0.010179,74.9994
1.529,4923.81,349.448,85.9405,2.02161,0.0101826,74.9993
1.54,4956.74,349.511,85.9666,2.04874,0.0101863,74.9993
1.551,4989.67,349.576,85.9924,2.07606,0.0101901,74.9993
1.562,5022.6,349.641,86.0179,2.10355,0.0101939,74.9993
1.573,5055.53,349.707,86.043,2.13122,0.0101978,74.9993
1.584,5088.46,349.774,86.0677,2.15908,0.0102017,74.9993
1.595,5121.39,349.842,86.0922,2.18711,0.0102056,74.9993
1.606,5154.32,349.911,86.1163,2.21533,0.0102096,74.9993
1.617,5187.25,349.981,86.1401,2.24372,0.0102137,74.9993
1.628,5220.18,350.051,86.1636,2.2723,0.0102178,74.9993
1.639,5253.11,350.123,86.1868,2.30106,0.010222,74.9993
1.65,5286.04,350.195,86.2097,2.33,0.0102262,74.9993
1.661,5318.97,350.268,86.2324,2.35912,0.0102305,74.9993
1.672,5351.9,350.343,86.2547,2.38842,0.0102348,74.9993
1.683,5384.82,350.418,86.2767,2.4179,0.0102392,74.9993
1.694,5417.75,350.494,86.2985,2.44756,0.0102437,74.9993
1.705,5450.68,350.571,86.32,2.4774,0.0102482,74.9993
1.716,5483.61,350.649,86.3412,2.50743,0.0102527,74.9993
1.727,5516.54,350.727,86.3622,2.53763,0.0102573,74.9993
1.738,5549.47,350.807,86.3829,2.56802,0.010262,74.9993
1.749,5582.4,350.888,86.4033,2.59859,0.0102667,74.9993
1.76,5615.33,350.97,86.4235,2.62933,0.0102715,74.9992
1.771,5648.26,351.052,86.4435,2.66026,0.0102763,74.9992
1.782,5681.19,351.136,86.4632,2.69137,0.0102812,74.9992
1.793,5714.12,351.22,86.4827,2.72266,0.0102862,74.9992
1.804,5747.04,351.306,86.502,2.75413,0.0102912,74.9992
1.815,5779.97,351.393,86.521,2.78578,0.0102963,74.9992
1.826,5812.9,351.48,86.5398,2.81761,0.0103014,74.9992
1.837,5845.83,351.569,86.5584,2.84962,0.0103066,74.9992
1.848,5878.76,351.658,86.5767,2.88182,0.0103119,74.9992
1.859,5911.69,351.749,86.5949,2.91419,0.0103172,74.9992
1.87,5944.62,351.84,86.6128,2.94675,0.0103225,74.9992
1.881,5977.55,351.933,86.6306,2.97948,0.010328,74.9992
1.892,6010.47,352.027,86.6481,3.0124,0.0103335,74.9992
1.903,6043.4,352.121,86.6654,3.0455,0.010339,74.9992
1.914,6076.33,352.217,86.6825,3.07878,0.0103446,74.9992
1.925,6109.26,352.314,86.6995,3.11223,0.0103503,74.9992
1.936,6142.19,352.412,86.7162,3.14587,0.0103561,74.9992
1.947,6175.12,352.51,86.7328,3.1797,0.0103619,74.9992
1.958,6208.05,352.61,86.7492,3.2137,0.0103678,74.9992
1.969,6240.97,352.711,86.7653,3.24788,0.0103737,74.9992
1.98,6273.9,352.813,86.7814,3.28224,0.0103797,74.9992
