time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,379.231,346.303,47.5986,0.0119923,0.0100002,75
0.022,412.163,346.306,49.9625,0.0141655,0.0100003,75
0.033,445.094,346.309,52.115,0.0165196,0.0100005,75
0.044,478.026,346.313,54.078,0.0190545,0.0100007,75
0.055,510.957,346.316,55.8714,0.0217703,0.010001,75
0.066,543.889,346.321,57.5131,0.0246669,0.0100012,75
0.077,576.82,346.325,59.0192,0.0277444,0.0100015,75
0.088,609.751,346.33,60.404,0.0310028,0.0100017,74.9999
0.099,642.683,346.335,61.6802,0.034442,0.010002,74.9999
0.11,675.614,346.341,62.8589,0.0380621,0.0100024,74.9999
0.121,708.545,346.346,63.95,0.041863,0.0100027,74.9999
0.132,741.476,346.353,64.9621,0.0458448,0.010003,74.9999
0.143,774.407,346.359,65.9031,0.0500074,0.0100034,74.9999
0.154,807.339,346.366,66.7796,0.0543509,0.0100038,74.9999
0.165,840.27,346.373,67.5977,0.0588752,0.0100042,74.9999
0.176,873.201,346.381,68.3628,0.0635804,0.0100047,74.9999
0.187,906.132,346.389,69.0796,0.0684665,0.0100051,74.9999
0.198,939.063,346.397,69.7522,0.0735334,0.0100056,74.9999
0.209,971.994,346.406,70.3846,0.0787811,0.0100061,74.9999
0.22,1004.92,346.415,70.9801,0.0842097,0.0100066,74.9999
0.231,1037.86,346.424,71.5416,0.0898192,0.0100072,74.9999
0.242,1070.79,346.434,72.0719,0.0956095,0.0100077,74.9999
0.253,1103.72,346.444,72.5735,0.101581,0.0100083,74.9999
0.264,1136.65,346.455,73.0486,0.107733,0.0100089,74.9999
0.275,1169.58,346.466,73.4991,0.114066,0.0100096,74.9999
0.286,1202.51,346.477,73.9268,0.120579,0.0100102,74.9999
0.297,1235.44,346.489,74.3334,0.127274,0.0100109,74.9999
0.308,1268.37,346.502,74.7204,0.134149,0.0100116,74.9999
0.319,1301.3,346.514,75.0891,0.141205,0.0100124,74.9999
0.33,1334.23,346.528,75.4408,0.148443,0.0100131,74.9998
0.341,1367.16,346.541,75.7765,0.15586,0.0100139,74.9998
