x,time,relative_density,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,energy,energy_density,inval_lat
2,2.828,1,8811.67,372.103,87.5819,6.47458,0.0115458,6.48613,6.48613,74.9988
3,5.228,1,15993.7,479.823,88.2816,21.3302,0.0191981,21.3494,21.3494,74.9976
4,7.023,1,21362.9,649.239,88.2593,38.0554,0.0351483,38.0906,38.0906,74.9964
5,8.373,1,25398.7,843.332,88.0983,53.792,0.0593051,53.8513,53.8513,74.9952
6,9.437,1,28577.3,1044.22,87.9073,68.0985,0.0909246,68.1895,68.1895,74.994
7,10.313,1,31192.4,1245.22,87.7139,81.132,0.129297,81.2613,81.2613,74.9928
8,11.058,1,33414.7,1443.71,87.526,93.1042,0.173803,93.278,93.278,74.9916
9,11.707,1,35349,1638.68,87.3458,104.196,0.223915,104.42,104.42,74.9904
10,12.284,1,37067.4,1830.21,87.1733,114.572,0.279318,114.852,114.852,74.9892
11,12.804,1,38614.8,2018.18,87.0082,124.337,0.339636,124.677,124.677,74.988
12,13.278,1,40024,2202.7,86.8499,133.578,0.40458,133.983,133.983,74.9868
13,13.714,1,41319.2,2383.9,86.698,142.364,0.473883,142.837,142.837,74.9856
14,14.119,1,42521.2,2562.37,86.5515,150.767,0.547494,151.315,151.315,74.9844
15,14.496,1,43639.2,2737.53,86.4105,158.799,0.624904,159.424,159.424,74.9832
16,14.851,1,44691,2910.61,86.2737,166.547,0.706423,167.253,167.253,74.982
17,15.184,1,45676.8,3080.32,86.142,173.975,0.791199,174.766,174.766,74.9808
18,15.501,1,46614.3,3248.6,86.0134,181.19,0.880011,182.07,182.07,74.9796
19,15.801,1,47500.8,3414.03,85.8891,188.147,0.971916,189.119,189.119,74.9784
20,16.087,1,48345.2,3577.41,85.768,194.896,1.06717,195.963,195.963,74.9772
21,16.36,1,49150.5,3738.62,85.6502,201.442,1.16551,202.608,202.608,74.976
22,16.622,1,49922.6,3898.23,85.5351,207.821,1.26716,209.088,209.088,74.9748
23,16.874,1,50664.6,4056.34,85.4225,214.045,1.37203,215.417,215.417,74.9736
