time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,351.371,346.3,45.4164,0.010295,0.01,75
0.022,356.443,346.301,45.8268,0.0105944,0.0100001,75
0.033,361.514,346.301,46.2312,0.010898,0.0100001,75
0.044,366.585,346.302,46.6298,0.0112059,0.0100001,75
0.055,371.657,346.302,47.0225,0.0115181,0.0100001,75
0.066,376.728,346.303,47.4096,0.0118345,0.0100002,74.9999
0.077,381.799,346.304,47.791,0.0121553,0.0100002,74.9999
0.088,386.871,346.304,48.167,0.0124804,0.0100002,74.9999
0.099,391.942,346.305,48.5374,0.0128097,0.0100003,74.9999
0.11,397.013,346.305,48.9026,0.0131433,0.0100003,74.9999
0.121,402.085,346.306,49.2625,0.0134813,0.0100003,74.9999
0.132,407.156,346.307,49.6172,0.0138235,0.0100004,74.9999
0.143,412.227,346.307,49.9668,0.01417,0.0100004,74.9999
0.154,417.299,346.308,50.3114,0.0145208,0.0100005,74.9999
0.165,422.37,346.309,50.6511,0.0148758,0.0100005,74.9999
0.176,427.441,346.309,50.9859,0.0152352,0.0100005,74.9999
0.187,432.513,346.31,51.316,0.0155988,0.0100006,74.9999
0.198,437.584,346.311,51.6413,0.0159668,0.0100006,74.9999
0.209,442.655,346.312,51.9621,0.016339,0.0100007,74.9999
0.22,447.726,346.312,52.2784,0.0167155,0.0100007,74.9998
0.231,452.798,346.313,52.5902,0.0170963,0.0100008,74.9998
0.242,457.869,346.314,52.8976,0.0174814,0.0100008,74.9998
0.253,462.94,346.315,53.2007,0.0178708,0.0100009,74.9998
0.264,468.011,346.316,53.4996,0.0182645,0.0100009,74.9998
0.275,473.082,346.316,53.7943,0.0186625,0.010001,74.9998
0.286,478.154,346.317,54.0849,0.0190647,0.010001,74.9998
0.297,483.225,346.318,54.3715,0.0194712,0.0100011,74.9998
0.308,488.296,346.319,54.6542,0.0198821,0.0100011,74.9998
0.319,493.367,346.32,54.933,0.0202972,0.0100012,74.9998
0.33,498.438,346.321,55.208,0.0207166,0.0100012,74.9998
0.341,503.51,346.322,55.4792,0.0211403,0.0100013,74.9998
0.352,508.581,346.323,55.7467,0.0215683,0.0100013,74.9998
0.363,513.652,346.324,56.0106,0.0220005,0.0100014,74.9998
0.374,518.723,346.325,56.271,0.0224371,0.0100015,74.9998
0.385,523.794,346.326,56.5278,0.0228779,0.0100015,74.9997
0.396,528.865,346.327,56.7812,0.0233231,0.0100016,74.9997
