x,relative_density,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV
1,1,6705.5,1122.05,80.5005,3.5922,0.100583
2,0.989933,12234.8,1138.66,84.683,11.959,0.103583
3,0.967562,17638,1178.35,86.1779,24.8541,0.11093
4,0.925056,22802.7,1247.52,86.8685,41.5403,0.124336
5,0.863535,27622.5,1347.67,87.2068,60.9573,0.1451
6,0.794183,32053.9,1476.52,87.3626,82.0846,0.174172
7,0.721477,36078.3,1628.99,87.4148,103.99,0.212001
8,0.654362,39726.8,1800.12,87.4056,126.086,0.258881
9,0.591723,43024.6,1984.47,87.3592,147.888,0.314622
10,0.538031,46021.8,2178.54,87.2898,169.21,0.379168
11,0.491051,48755.9,2379.18,87.2063,189.912,0.452225
12,0.450783,51264.5,2584.3,87.1141,209.958,0.53356
13,0.416107,53578.8,2792.32,87.0167,229.343,0.622916
14,0.387025,55730.2,3002.63,86.916,248.13,0.720283
15,0.35906,57724.9,3212.83,86.8143,266.211,0.824656
16,0.337808,59600.5,3424.29,86.7117,283.79,0.936787
17,0.316555,61356.9,3634.91,86.6096,300.764,1.05557
18,0.299776,63019.2,3845.8,86.5078,317.282,1.18161
19,0.282998,64587.5,4055.36,86.4072,333.27,1.31389
20,0.268456,66074.2,4263.79,86.3078,348.789,1.45241
21,0.256152,67491.9,4471.59,86.2095,363.917,1.59744
22,0.244966,68846.8,4678.66,86.1123,378.674,1.74881
23,0.233781,70138.9,4884.02,86.0167,393.021,1.9057
24,0.224832,71380.7,5088.79,85.9222,407.062,2.06884
25,0.214765,72566.1,5291.15,85.8297,420.694,2.23666
26,0.208054,73713.7,5493.6,85.7378,434.105,2.41109
27,0.200224,74817.3,5694.47,85.6475,447.201,2.59063
28,0.192394,75877,5893.15,85.5589,459.959,2.77455
29,0.186801,76905.2,6091.43,85.4712,472.509,2.9644
30,0.181208,77901.9,6288.91,85.3846,484.836,3.15973
31,0.174497,78861,6483.91,85.2997,496.848,3.35871
32,0.170022,79794.9,6678.53,85.2157,508.685,3.56336
33,0.165548,80703.5,6872.45,85.1326,520.336,3.7733
34,0.159955,81580.8,7064.01,85.0512,531.71,3.98659
35,0.1566,82439.1,7255.59,84.9703,542.957,4.20575
36,0.152125,83272.2,7445.55,84.8906,553.987,4.42886
37,0.14877,84086.4,7635.03,84.8118,564.872,4.65715
38,0.144295,84875.5,7822.35,84.7343,575.524,4.88848
39,0.14094,85645.7,8008.71,84.6578,586.017,5.12418
40,0.138702,86403.2,8195.41,84.5817,596.428,5.36587
41,0.135347,87141.7,8380.78,84.5065,606.667,5.61135
42,0.131991,87861.4,8564.6,84.4325,616.73,5.8602
43,0.128635,88562.3,8746.67,84.3596,626.609,6.11201
44,0.126398,89250.5,8928.4,84.2873,636.385,6.36862
45,0.124161,89926,9109.66,84.2156,646.054,6.62983
46,0.121924,90588.8,9290.32,84.1445,655.613,6.89541
47,0.118568,91232.9,9468.57,84.0748,664.97,7.16254
48,0.11745,91870.5,9647.63,84.0052,674.296,7.436
49,0.115213,92495.4,9825.71,83.9363,683.501,7.71305
50,0.112975,93107.8,10002.7,83.8682,692.581,7.9934
51,0.110738,93707.5,10178.4,83.8009,701.532,8.27675
52,0.108501,94294.7,10352.8,83.7345,710.352,8.56279
53,0.107383,94875.4,10527.6,83.6683,719.128,8.85429
54,0.105145,95443.6,10700.7,83.603,727.767,9.14801
55,0.104027,96005.3,10874.1,83.5379,736.359,9.44686
56,0.10179,96554.5,11045.8,83.4738,744.808,9.74741
57,0.100671,97097.3,11217.4,83.41,753.205,10.0528
58,0.098434,97627.6,11387.2,83.3472,761.455,10.3593
59,0.098434,98157.5,11558.7,83.284,769.743,10.6738
60,0.0950783,98668.9,11726.2,83.2225,777.785,10.9854
61,0.0950783,99180,11895.5,83.1607,785.863,11.3048
62,0.0939597,99684.6,12064.4,83.0993,793.88,11.6282
63,0.0917226,100177,12231,83.039,801.74,11.9516
64,0.090604,100663,12397.2,82.979,809.536,12.2786
65,0.0894855,101142,12563,82.9195,817.267,12.609
66,0.0883669,101615,12728.1,82.8604,824.931,12.9428
67,0.0872483,102082,12892.8,82.8018,832.527,13.2798
68,0.0861298,102543,13056.8,82.7436,840.055,13.6198
69,0.0861298,103003,13222.2,82.6851,847.61,13.9672
70,0.0838926,103451,13384.8,82.6278,854.996,14.3128
71,0.082774,103892,13546.7,82.571,862.309,14.661
72,0.0816555,104327,13707.6,82.5147,869.548,15.0115
73,0.0816555,104762,13870,82.4582,876.812,15.3691
74,0.0805369,105191,14031.4,82.4021,884,15.729
75,0.0782998,105607,14189.6,82.3474,891.011,16.0857
76,0.0794183,106029,14351.4,82.2917,898.145,16.4545
77,0.0771812,106439,14509.8,82.2372,905.1,16.8198
78,0.0760626,106842,14667.1,82.1834,911.975,17.1866
79,0.0760626,107245,14825.7,82.1293,918.871,17.5601
80,0.0749441,107642,14983,82.0757,925.685,17.9349
81,0.0749441,108039,15141.6,82.022,932.519,18.3164
82,0.0727069,108423,15296.5,81.9696,939.167,18.6931
83,0.0727069,108807,15452.5,81.9171,945.835,19.0764
84,0.0727069,109191,15609.6,81.8643,952.52,19.4663
85,0.0715884,109569,15765.4,81.8121,959.12,19.8568
86,0.0704698,109940,15919.8,81.7606,965.634,20.2477
87,0.0693512,110306,16072.8,81.7097,972.062,20.6387
88,0.0693512,110671,16226.8,81.6586,978.505,21.036
89,0.0682327,111029,16379.3,81.6081,984.861,21.4333
90,0.0682327,111388,16532.8,81.5575,991.232,21.8369
91,0.0671141,111740,16684.7,81.5075,997.513,22.2401
92,0.0671141,112092,16837.6,81.4574,1003.81,22.6496
93,0.0659955,112438,16988.9,81.4079,1010.02,23.0585
94,0.0659955,112784,17141.2,81.3582,1016.24,23.4736
95,0.064877,113124,17291.7,81.3092,1022.36,23.8877
96,0.0637584,113457,17440.6,81.2609,1028.4,24.3007
97,0.064877,113796,17592.9,81.2116,1034.55,24.7272
98,0.0626398,114123,17740.9,81.1639,1040.51,25.1449
99,0.0626398,114450,17889.7,81.116,1046.48,25.5685
100,0.0626398,114776,18039.4,81.0679,1052.46,25.9981
101,0.0615213,115097,18187.2,81.0206,1058.34,26.4259
102,0.0615213,115417,18335.9,80.9731,1064.24,26.8597
103,0.0604027,115731,18482.6,80.9263,1070.04,27.2914
104,0.0604027,116045,18630.2,80.8794,1075.85,27.7289
105,0.0604027,116359,18778.5,80.8324,1081.67,28.1722
106,0.0592841,116666,18924.9,80.7861,1087.4,28.6132
107,0.0581655,116968,19069.3,80.7405,1093.03,29.0514
108,0.0592841,117275,19217.2,80.694,1098.78,29.5039
109,0.057047,117570,19360.3,80.649,1104.31,29.9448
110,0.0581655,117871,19506.9,80.6031,1109.97,30.4001
111,0.057047,118166,19651.4,80.5579,1115.53,30.8522
112,0.057047,118460,19796.7,80.5126,1121.1,31.31
113,0.0559284,118749,19939.8,80.4681,1126.57,31.7643
114,0.0559284,119037,20083.6,80.4234,1132.04,32.2241
115,0.0559284,119325,20228.1,80.3787,1137.53,32.6894
116,0.0548098,119607,20370.4,80.3347,1142.91,33.1509
117,0.0548098,119889,20513.3,80.2906,1148.31,33.6179
118,0.0536913,120165,20654,80.2473,1153.6,34.0806
119,0.0548098,120446,20798.3,80.203,1159.01,34.5585
120,0.0525727,120716,20937.3,80.1603,1164.2,35.0221
121,0.0536913,120991,21080,80.1167,1169.52,35.5009
122,0.0525727,121260,21220.3,80.0739,1174.73,35.975
123,0.0525727,121530,21361.2,80.031,1179.95,36.4544
124,0.0525727,121798,21502.7,79.988,1185.17,36.9391
125,0.0514541,122061,21641.9,79.9457,1190.29,37.4187
126,0.0514541,122324,21781.6,79.9034,1195.42,37.9035
127,0.0514541,122586,21922,79.861,1200.56,38.3935
128,0.0514541,122849,22062.9,79.8185,1205.7,38.8888
129,0.0503356,123105,22201.4,79.7769,1210.74,39.3784
130,0.0503356,123361,22340.4,79.7351,1215.78,39.8732
131,0.049217,123611,22476.9,79.6942,1220.72,40.362
132,0.0503356,123867,22617.1,79.6522,1225.77,40.867
133,0.049217,124117,22754.7,79.6111,1230.72,41.3659
134,0.049217,124366,22892.9,79.57,1235.68,41.8699
135,0.0480984,124610,23028.5,79.5296,1240.52,42.3673
136,0.0480984,124854,23164.6,79.4892,1245.38,42.8696
137,0.0480984,125097,23301.3,79.4487,1250.24,43.3768
138,0.0480984,125340,23438.5,79.4081,1255.1,43.8891
139,0.0480984,125583,23576.2,79.3674,1259.97,44.4063
140,0.0469799,125820,23711.2,79.3276,1264.74,44.9164
141,0.0469799,126057,23846.7,79.2877,1269.5,45.4314
142,0.0469799,126294,23982.8,79.2478,1274.27,45.9512
143,0.0469799,126530,24119.3,79.2077,1279.05,46.476
144,0.0458613,126761,24253.1,79.1685,1283.72,46.993
145,0.0458613,126992,24387.4,79.1293,1288.39,47.5149
146,0.0458613,127222,24522.2,79.09,1293.07,48.0415
147,0.0458613,127452,24657.4,79.0506,1297.75,48.5729
148,0.0447427,127676,24789.9,79.0121,1302.33,49.0961
149,0.0447427,127901,24922.8,78.9735,1306.9,49.6239
150,0.0447427,128124,25056.1,78.9348,1311.48,50.1564
151,0.0447427,128348,25190,78.8961,1316.07,50.6936
152,0.0447427,128572,25324.3,78.8573,1320.66,51.2356
153,0.0436242,128790,25455.6,78.8194,1325.14,51.7687
154,0.0436242,129007,25587.5,78.7815,1329.62,52.3063
155,0.0436242,129225,25719.8,78.7435,1334.11,52.8485
156,0.0436242,129442,25852.5,78.7054,1338.6,53.3954
157,0.0436242,129659,25985.7,78.6672,1343.09,53.9469
158,0.0425056,129871,26115.9,78.6299,1347.47,54.4888
159,0.0425056,130082,26246.5,78.5926,1351.86,55.0352
160,0.0425056,130293,26377.5,78.5553,1356.25,55.5861
161,0.0425056,130504,26509,78.5178,1360.64,56.1416
162,0.0425056,130714,26640.9,78.4803,1365.04,56.7016
163,0.041387,130919,26769.7,78.4438,1369.32,57.2513
164,0.041387,131124,26898.9,78.4071,1373.61,57.8054
165,0.041387,131329,27028.6,78.3704,1377.9,58.3639
166,0.041387,131533,27158.6,78.3337,1382.19,58.9269
167,0.041387,131737,27289,78.2969,1386.49,59.4943
168,0.041387,131941,27419.9,78.26,1390.79,60.0662
169,0.0402685,132140,27547.6,78.224,1394.97,60.627
170,0.0402685,132338,27675.7,78.1881,1399.16,61.1921
171,0.0402685,132536,27804.1,78.152,1403.36,61.7615
172,0.0402685,132734,27933,78.1159,1407.55,62.3353
173,0.0402685,132932,28062.2,78.0797,1411.75,62.9134
174,0.0391499,133124,28188.3,78.0445,1415.83,63.4797
175,0.0402685,133321,28318.3,78.0083,1420.03,64.0666
176,0.0391499,133513,28445,77.9729,1424.12,64.6414
177,0.0391499,133705,28572.1,77.9376,1428.21,65.2205
178,0.0391499,133896,28699.6,77.9022,1432.31,65.8038
179,0.0391499,134088,28827.5,77.8667,1436.4,66.3914
180,0.0380313,134273,28952,77.8322,1440.38,66.9663
181,0.0391499,134464,29080.6,77.7966,1444.48,67.5624
182,0.0380313,134650,29205.8,77.762,1448.47,68.1456
183,0.0380313,134835,29331.4,77.7273,1452.46,68.7329
184,0.0380313,135020,29457.4,77.6926,1456.45,69.3244
