x,time,relative_density,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,energy,energy_density,inval_lat
2,2.887,1,951.129,346.763,69.9691,0.0754352,0.0100268,0.085462,0.085462,74.9982
3,5.765,1,1553.86,348.398,77.3624,0.201334,0.0101215,0.211456,0.211456,74.9964
4,8.622,1,2151.97,351.912,80.7126,0.386161,0.0103267,0.396488,0.396488,74.9946
5,11.442,1,2742.12,357.938,82.5631,0.627001,0.0106834,0.637684,0.637684,74.9928
6,14.203,1,3319.7,366.969,83.692,0.91895,0.0112294,0.93018,0.93018,74.991
7,16.885,1,3880.51,379.332,84.4169,1.25566,0.0119987,1.26766,1.26766,74.9892
8,19.47,1,4420.81,395.157,84.8921,1.62966,0.0130207,1.64269,1.64269,74.9874
9,21.942,1,4937.23,414.377,85.2025,2.03265,0.0143181,2.04697,2.04697,74.9856
10,24.294,1,5428.33,436.802,85.3995,2.45712,0.0159098,2.47303,2.47303,74.9838
11,26.521,1,5893.05,462.121,85.5162,2.89585,0.0178076,2.91366,2.91366,74.982
12,28.623,1,6331.43,489.973,85.5748,3.34271,0.0200189,3.36272,3.36272,74.9802
13,30.604,1,6744.29,519.995,85.5911,3.79286,0.0225472,3.81541,3.81541,74.9784
14,32.471,1,7133.12,551.855,85.5761,4.24281,0.0253948,4.26821,4.26821,74.9766
15,34.231,1,7499.38,585.237,85.5378,4.68971,0.02856,4.71827,4.71827,74.9748
16,35.891,1,7844.57,619.849,85.4821,5.13137,0.0320381,5.16341,5.16341,74.973
17,37.46,1,8170.57,655.479,85.4133,5.56672,0.0358272,5.60255,5.60255,74.9712
18,38.945,1,8478.85,691.916,85.3347,5.99472,0.0399211,6.03464,6.03464,74.9694
19,40.353,1,8770.88,728.991,85.2488,6.41478,0.0443138,6.4591,6.4591,74.9676
20,41.691,1,9048.15,766.577,85.1574,6.82676,0.0490011,6.87576,6.87576,74.9658
21,42.964,1,9311.7,804.531,85.0619,7.23024,0.0539735,7.28422,7.28422,74.964
22,44.178,1,9562.79,842.774,84.9635,7.62543,0.0592267,7.68466,7.68466,74.9622
23,45.338,1,9802.48,881.232,84.863,8.01249,0.0647554,8.07724,8.07724,74.9604
24,46.449,1,10031.8,919.862,84.7609,8.39179,0.0705571,8.46235,8.46235,74.9586
25,47.514,1,10251.4,958.579,84.658,8.76324,0.0766216,8.83986,8.83986,74.9568
26,48.537,1,10462.2,997.355,84.5545,9.12724,0.0829458,9.21018,9.21018,74.955
27,49.52,1,10664.5,1036.11,84.4508,9.4836,0.0895165,9.57312,9.57312,74.9532
28,50.468,1,10859.3,1074.89,84.3471,9.83337,0.0963429,9.92972,9.92972,74.9514
29,51.382,1,11047,1113.61,84.2437,10.1762,0.103409,10.2796,10.2796,74.9496
30,52.265,1,11228.2,1152.28,84.1406,10.5127,0.110715,10.6234,10.6234,74.9478
31,53.118,1,11402.9,1190.83,84.0381,10.8425,0.118247,10.9607,10.9607,74.946
32,53.945,1,11572.2,1229.34,83.9361,11.1668,0.126019,11.2928,11.2928,74.9442
33,54.746,1,11736,1267.72,83.8348,11.4851,0.134011,11.6191,11.6191,74.9424
