x,relative_density,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV
1,1,6705.5,1122.05,80.5005,3.5922,0.100583
2,0.989933,12234.8,1138.66,84.683,11.959,0.103583
3,0.967562,17638,1178.35,86.1779,24.8541,0.11093
4,0.925056,22802.7,1247.52,86.8685,41.5403,0.124336
5,0.863535,27622.5,1347.67,87.2068,60.9573,0.1451
6,0.794183,32053.9,1476.52,87.3626,82.0846,0.174172
7,0.721477,36078.3,1628.99,87.4148,103.99,0.212001
8,0.654362,39726.8,1800.12,87.4056,126.086,0.258881
9,0.591723,43024.6,1984.47,87.3592,147.888,0.314622
10,0.538031,46021.8,2178.54,87.2898,169.21,0.379168
11,0.491051,48755.9,2379.18,87.2063,189.912,0.452225
12,0.450783,51264.5,2584.3,87.1141,209.958,0.53356
13,0.416107,53578.8,2792.32,87.0167,229.343,0.622916
14,0.387025,55730.2,3002.63,86.916,248.13,0.720283
15,0.35906,57724.9,3212.83,86.8143,266.211,0.824656
16,0.337808,59600.5,3424.29,86.7117,283.79,0.936787
17,0.316555,60555.9,3633.64,86.5661,292.962,1.05483
18,0.299776,60543.6,3833.56,86.3769,292.843,1.17409
19,0.285235,60531.2,4023.69,86.197,292.724,1.29345
20,0.271812,60518.9,4204.81,86.0255,292.605,1.41251
21,0.260626,60506.6,4378.4,85.8612,292.486,1.53154
22,0.250559,60494.3,4545.22,85.7032,292.367,1.65047
23,0.241611,60482,4706.01,85.5509,292.248,1.76931
24,0.233781,60469.7,4861.53,85.4035,292.129,1.88819
25,0.227069,60457.4,5012.53,85.2604,292.01,2.0073
26,0.219239,60445.1,5158.26,85.1223,291.891,2.12571
27,0.214765,60432.8,5300.95,84.987,291.772,2.24495
28,0.208054,60420.5,5439.13,84.856,291.654,2.36351
29,0.202461,60408.3,5573.55,84.7286,291.535,2.48177
30,0.199105,60395.9,5705.68,84.6032,291.416,2.60083
31,0.193512,60383.7,5834.04,84.4814,291.298,2.71918
32,0.190157,60371.3,5960.13,84.3618,291.179,2.83799
33,0.185682,60359.1,6083.2,84.245,291.061,2.9564
34,0.181208,60346.8,6203.26,84.131,290.943,3.07425
35,0.178971,60334.5,6321.79,84.0184,290.824,3.19285
36,0.175615,60322.2,6438.04,83.908,290.706,3.31136
37,0.17226,60310,6552.03,83.7997,290.587,3.42966
38,0.168904,60297.7,6663.76,83.6936,290.469,3.54762
39,0.166667,60285.4,6773.96,83.5889,290.351,3.66592
40,0.163311,60273.2,6881.89,83.4863,290.233,3.78368
41,0.162192,60260.9,6989.05,83.3844,290.115,3.90242
42,0.158837,60248.6,7093.94,83.2847,289.997,4.02044
43,0.1566,60236.4,7197.31,83.1863,289.879,4.13847
44,0.154362,60224.1,7299.17,83.0894,289.761,4.25643
45,0.152125,60211.9,7399.51,82.994,289.643,4.37426
46,0.149888,60199.6,7498.33,82.8999,289.525,4.49188
47,0.147651,60187.4,7595.64,82.8073,289.408,4.60922
48,0.146532,60175.2,7692.17,82.7154,289.29,4.72712
49,0.144295,60163,7787.19,82.6249,289.172,4.84463
50,0.143177,60150.7,7881.44,82.5352,289.055,4.9626
51,0.14094,60138.5,7974.17,82.4468,288.937,5.08007
52,0.139821,60126.2,8066.13,82.3592,288.819,5.19792
53,0.137584,60114,8156.59,82.273,288.702,5.31515
54,0.136465,60101.8,8246.27,82.1875,288.584,5.43267
55,0.135347,60089.5,8335.18,82.1027,288.467,5.55045
56,0.13311,60077.3,8422.58,82.0194,288.35,5.66747
57,0.131991,60065.1,8509.22,81.9368,288.232,5.78466
58,0.130872,60052.9,8595.08,81.8548,288.115,5.90199
59,0.129754,60040.6,8680.18,81.7736,287.998,6.01944
60,0.128635,60028.4,8764.51,81.6932,287.88,6.13697
61,0.126398,60016.2,8847.34,81.6141,287.764,6.25351
62,0.126398,60004,8930.13,81.535,287.646,6.3711
63,0.124161,59991.8,9011.43,81.4574,287.529,6.48763
64,0.124161,59979.5,9092.69,81.3798,287.412,6.60516
65,0.121924,59967.4,9172.46,81.3036,287.296,6.72156
66,0.121924,59955.1,9252.19,81.2274,287.178,6.83893
67,0.119687,59943,9330.43,81.1526,287.062,6.95508
68,0.119687,59930.8,9408.64,81.0779,286.945,7.07216
69,0.118568,59918.6,9486.08,81.0038,286.828,7.18907
70,0.11745,59906.4,9562.77,80.9305,286.711,7.30577
71,0.116331,59894.2,9638.69,80.8579,286.595,7.42224
72,0.115213,59882.1,9713.85,80.7859,286.479,7.53844
73,0.115213,59869.8,9788.98,80.7141,286.362,7.65551
74,0.114094,59857.6,9863.35,80.6429,286.245,7.77227
75,0.112975,59845.5,9936.97,80.5724,286.128,7.88872
76,0.111857,59833.3,10009.8,80.5026,286.012,8.00481
77,0.110738,59821.2,10081.9,80.4336,285.897,8.12054
78,0.110738,59809,10154,80.3646,285.78,8.23705
79,0.10962,59796.9,10225.3,80.2962,285.664,8.35315
80,0.10962,59784.6,10296.6,80.2279,285.547,8.47001
81,0.108501,59772.4,10367.1,80.1603,285.431,8.58644
82,0.107383,59760.3,10436.9,80.0935,285.315,8.7024
83,0.106264,59748.2,10505.9,80.0273,285.199,8.81787
84,0.106264,59736,10574.9,79.9611,285.083,8.93405
85,0.105145,59723.9,10643.1,79.8957,284.967,9.04972
86,0.105145,59711.7,10711.3,79.8302,284.851,9.16607
87,0.104027,59699.6,10778.8,79.7655,284.735,9.28188
88,0.104027,59687.4,10846.2,79.7008,284.619,9.39836
89,0.102908,59675.2,10912.9,79.6368,284.503,9.51426
90,0.10179,59663.1,10978.8,79.5735,284.388,9.62955
91,0.10179,59651,11044.7,79.5102,284.272,9.74549
92,0.100671,59638.9,11109.8,79.4476,284.156,9.86079
93,0.100671,59626.7,11174.9,79.3851,284.04,9.97672
94,0.0995526,59614.6,11239.3,79.3232,283.925,10.092
95,0.0995526,59602.4,11303.6,79.2614,283.809,10.2079
96,0.098434,59590.3,11367.2,79.2002,283.694,10.323
97,0.098434,59578.2,11430.8,79.1391,283.578,10.4388
98,0.0973154,59566.1,11493.6,79.0787,283.463,10.5539
99,0.0973154,59553.9,11556.4,79.0183,283.348,10.6695
100,0.0961969,59541.9,11618.4,78.9586,283.233,10.7844
101,0.0961969,59529.7,11680.5,78.8989,283.117,10.8998
102,0.0950783,59517.7,11741.7,78.8399,283.003,11.0145
103,0.0950783,59505.6,11803,78.7809,282.887,11.1297
104,0.0950783,59493.4,11864.2,78.722,282.772,11.2454
105,0.0939597,59481.3,11924.7,78.6637,282.657,11.3604
106,0.0928412,59469.3,11984.4,78.6062,282.543,11.4745
107,0.0939597,59457.1,12044.9,78.548,282.427,11.5905
108,0.0917226,59445.1,12103.8,78.4911,282.313,11.7043
109,0.0928412,59432.9,12163.5,78.4336,282.197,11.8199
110,0.0917226,59420.8,12222.4,78.3768,282.082,11.9347
111,0.090604,59408.8,12280.6,78.3207,281.969,12.0486
112,0.0917226,59396.6,12339.5,78.2639,281.853,12.1644
113,0.090604,59384.5,12397.6,78.2078,281.738,12.2793
114,0.0894855,59372.5,12455,78.1525,281.624,12.3932
115,0.0894855,59360.4,12512.3,78.0971,281.509,12.5076
116,0.0894855,59348.3,12569.7,78.0418,281.395,12.6225
117,0.0883669,59336.3,12626.3,77.9871,281.281,12.7365
118,0.0883669,59324.2,12682.9,77.9325,281.166,12.8509
119,0.0883669,59312.1,12739.4,77.8778,281.051,12.9658
120,0.0872483,59300.1,12795.2,77.8239,280.937,13.0796
121,0.0872483,59288,12851,77.77,280.823,13.1939
122,0.0872483,59275.9,12906.8,77.7161,280.708,13.3087
123,0.0861298,59263.9,12961.8,77.6629,280.595,13.4224
124,0.0861298,59251.9,13016.8,77.6097,280.48,13.5366
125,0.0861298,59239.8,13071.8,77.5565,280.366,13.6512
126,0.0850112,59227.8,13126.1,77.504,280.252,13.7648
127,0.0850112,59215.7,13180.3,77.4516,280.138,13.8788
128,0.0850112,59203.6,13234.5,77.3991,280.024,13.9932
129,0.0838926,59191.6,13288,77.3474,279.911,14.1065
130,0.0838926,59179.6,13341.5,77.2956,279.797,14.2202
131,0.0838926,59167.5,13394.9,77.2439,279.683,14.3343
132,0.0838926,59155.4,13448.3,77.1922,279.568,14.4489
133,0.082774,59143.4,13501,77.1411,279.455,14.5623
134,0.082774,59131.4,13553.6,77.0901,279.341,14.6761
135,0.082774,59119.3,13606.3,77.0391,279.227,14.7903
136,0.0816555,59107.3,13658.2,76.9888,279.114,14.9033
137,0.0816555,59095.3,13710,76.9385,279,15.0168
138,0.0816555,59083.3,13761.9,76.8882,278.887,15.1306
139,0.0805369,59071.3,13813,76.8386,278.774,15.2432
140,0.0816555,59059.2,13864.8,76.7884,278.659,15.3578
141,0.0805369,59047.2,13915.9,76.7388,278.546,15.4712
142,0.0794183,59035.3,13966.3,76.6899,278.434,15.5833
143,0.0805369,59023.2,14017.3,76.6404,278.32,15.6975
144,0.0794183,59011.2,14067.6,76.5916,278.207,15.8103
145,0.0794183,58999.2,14117.9,76.5427,278.094,15.9236
146,0.0794183,58987.1,14168.2,76.4939,277.98,16.0372
147,0.0782998,58975.2,14217.8,76.4458,277.868,16.1496
148,0.0782998,58963.3,14267.3,76.3976,277.755,16.2623
149,0.0782998,58951.3,14316.8,76.3495,277.642,16.3753
150,0.0782998,58939.2,14366.3,76.3014,277.528,16.4887
151,0.0771812,58927.3,14415,76.254,277.416,16.6008
152,0.0782998,58915.2,14464.5,76.2059,277.302,16.7149
153,0.0771812,58903.2,14513.2,76.1586,277.189,16.8277
154,0.0771812,58891.2,14561.9,76.1112,277.076,16.9408
155,0.0760626,58879.3,14609.9,76.0645,276.964,17.0526
156,0.0760626,58867.4,14657.8,76.0178,276.852,17.1647
157,0.0771812,58855.3,14706.5,75.9705,276.738,17.2789
158,0.0749441,58843.4,14753.7,75.9245,276.627,17.39
159,0.0760626,58831.4,14801.6,75.8779,276.514,17.5031
160,0.0760626,58819.3,14849.4,75.8313,276.401,17.6165
161,0.0749441,58807.4,14896.6,75.7853,276.289,17.7285
162,0.0749441,58795.5,14943.7,75.7394,276.176,17.8409
163,0.0749441,58783.5,14990.8,75.6935,276.064,17.9536
164,0.0738255,58771.6,15037.2,75.6483,275.952,18.0649
165,0.0749441,58759.6,15084.3,75.6024,275.839,18.1781
166,0.0738255,58747.6,15130.7,75.5572,275.727,18.29
167,0.0738255,58735.7,15177,75.512,275.615,18.4022
168,0.0738255,58723.7,15223.3,75.4668,275.502,18.5147
169,0.0727069,58711.9,15268.9,75.4223,275.391,18.6258
170,0.0738255,58699.8,15315.2,75.3771,275.278,18.7389
171,0.0727069,58687.9,15360.8,75.3326,275.167,18.8505
172,0.0727069,58676,15406.3,75.2882,275.055,18.9625
173,0.0727069,58664,15451.8,75.2437,274.942,19.0747
174,0.0715884,58652.2,15496.6,75.2,274.832,19.1855
175,0.0727069,58640.1,15542.1,75.1555,274.719,19.2983
176,0.0715884,58628.2,15586.9,75.1118,274.608,19.4096
177,0.0715884,58616.3,15631.6,75.068,274.496,19.5212
178,0.0715884,58604.4,15676.3,75.0243,274.384,19.6331
179,0.0715884,58592.4,15721.1,74.9806,274.272,19.7452
180,0.0704698,58580.6,15765.1,74.9376,274.161,19.8559
